"state","ratio_sanders"
"AA",0.882352941176471
"AE",0.766990291262136
"AK",0.810483870967742
"AL",0.485714285714286
"AP",0.826923076923077
"AR",0.332559938128384
"AZ",0.672722415174993
"BC",0.727272727272727
"CA",0.562885802469136
"CO",0.624271330153683
"CT",0.525541795665635
"DC",0.183473389355742
"DE",0.546583850931677
"FL",0.434934126646834
"GA",0.512524627075711
"GU",0.666666666666667
"HI",0.7412109375
"IA",0.637137989778535
"ID",0.745161290322581
"IL",0.553565648937318
"IN",0.620656830080914
"KS",0.65452847805789
"KY",0.633307271305708
"LA",0.473684210526316
"MA",0.596204302956096
"MD",0.433303221921108
"ME",0.748623853211009
"MI",0.620704019995834
"MN",0.599220779220779
"MO",0.530069390902082
"MP",0.6
"MS",0.498637602179836
"MT",0.721804511278195
"NC",0.604693552061973
"ND",0.720379146919431
"NE",0.538961038961039
"NH",0.763507528786537
"NJ",0.498129168700179
"NM",0.694929697486153
"NS",0.75
"NV",0.544325239977414
"NY",0.407258514796203
"OH",0.55448717948718
"OK",0.507031828275352
"ON",0.473684210526316
"OR",0.782859200576161
"PA",0.543338569184635
"PR",0.194805194805195
"QC",0.714285714285714
"RI",0.515017667844523
"SC",0.460422960725076
"SD",0.625482625482625
"TN",0.552573691157061
"TX",0.461558623099773
"UT",0.644144144144144
"VA",0.444817073170732
"VI",0.530612244897959
"VT",0.956945765937203
"WA",0.749693829486576
"WI",0.696324951644101
"WV",0.637809187279152
"WY",0.626506024096386
